UID	Category	Snippet
nltk|nltk|__init__.py|001	Function	"    def _fake_Popen(*args, **kwargs):
        raise NotImplementedError(""subprocess.Popen is not supported."")
"
nltk|nltk|__init__.py|002	Function	"def demo():
    print(""To run the demo code for a module, type nltk.module.demo()"")
"
nltk|nltk|chunkparser_app.py|000	Class	"class RegexpChunkApp:
    """"""
    A graphical tool for exploring the regular expression based chunk
    parser ``nltk.chunk.RegexpChunkParser``.
"
nltk|nltk|chunkparser_app.py|001	Function	"    def normalize_grammar(self, grammar):
        # Strip comments
        grammar = re.sub(r""((\\.|[^#])*)(#.*)?"", r""\1"", grammar)
        # Normalize whitespace
        grammar = re.sub("" +"", "" "", grammar)
        grammar = re.sub(r""\n\s+"", r""\n"", grammar)
        grammar = grammar.strip()
        # [xx] Hack: automatically backslash $!
        grammar = re.sub(r""([^\\])\$"", r""\1\\$"", grammar)
        return grammar
"
nltk|nltk|chunkparser_app.py|002	Function	"    def __init__(
        self,
        devset_name=""conll2000"",
        devset=None,
        grammar="""",
        chunk_label=""NP"",
        tagset=None,
    ):
        """"""
        :param devset_name: The name of the development set; used for
            display & for save files.  If either the name 'treebank'
            or the name 'conll2000' is used, and devset is None, then
            devset will be set automatically.
        :param devset: A list of chunked sentences
        :param grammar: The initial grammar to display.
        :param tagset: Dictionary from tags to string descriptions, used
            for the help page.  Defaults to ``self.TAGSET``.
        """"""
        self._chunk_label = chunk_label
"
nltk|nltk|chunkparser_app.py|003	Function	"    def _init_bindings(self, top):
        top.bind(""<Control-n>"", self._devset_next)
        top.bind(""<Control-p>"", self._devset_prev)
        top.bind(""<Control-t>"", self.toggle_show_trace)
        top.bind(""<KeyPress>"", self.update)
        top.bind(""<Control-s>"", lambda e: self.save_grammar())
        top.bind(""<Control-o>"", lambda e: self.load_grammar())
        self.grammarbox.bind(""<Control-t>"", self.toggle_show_trace)
        self.grammarbox.bind(""<Control-n>"", self._devset_next)
        self.grammarbox.bind(""<Control-p>"", self._devset_prev)
"
nltk|nltk|chunkparser_app.py|004	Function	"    def _init_fonts(self, top):
        # TWhat's our font size (default=same as sysfont)
        self._size = IntVar(top)
        self._size.set(20)
        self._font = Font(family=""helvetica"", size=-self._size.get())
        self._smallfont = Font(
            family=""helvetica"", size=-(int(self._size.get() * 14 // 20))
        )
"
allenai|allennlp|__main__.py|000	Function	"def _transformers_log_filter(record):
    if record.msg.startswith(""PyTorch version""):
        return False
    return True
"
allenai|allennlp|__main__.py|001	Function	"def run():
    from allennlp.commands import main  # noqa
    from allennlp.common.util import install_sigterm_handler
"
allenai|allennlp|__init__.py|000	Class	"class ArgumentParserWithDefaults(argparse.ArgumentParser):
    """"""
    Custom argument parser that will display the default value for an argument
    in the help message.
    """"""
"
allenai|allennlp|__init__.py|001	Function	"    def _is_empty_default(default: Any) -> bool:
        if default is None:
            return True
        if isinstance(default, (str, list, tuple, set)):
            return not bool(default)
        return False
"
allenai|allennlp|__init__.py|002	Function	"    def add_argument(self, *args, **kwargs):
        # Add default value to the help message when the default is meaningful.
        default = kwargs.get(""default"")
        if kwargs.get(
            ""action""
        ) not in self._action_defaults_to_ignore and not self._is_empty_default(default):
            description = kwargs.get(""help"", """")
            kwargs[""help""] = f""{description} (default = {default})""
        super().add_argument(*args, **kwargs)
"
allenai|allennlp|__init__.py|003	Function	"def parse_args(prog: Optional[str] = None) -> Tuple[argparse.ArgumentParser, argparse.Namespace]:
    """"""
    Creates the argument parser for the main program and uses it to parse the args.
    """"""
    parser = ArgumentParserWithDefaults(description=""Run AllenNLP"", prog=prog)
    parser.add_argument(""--version"", action=""version"", version=f""%(prog)s {__version__}"")
"
allenai|allennlp|__init__.py|004	Function	"    def add_subcommands():
        for subcommand_name in sorted(Subcommand.list_available()):
            if subcommand_name in subcommands:
                continue
            subcommands.add(subcommand_name)
            subcommand_class = Subcommand.by_name(subcommand_name)
            subcommand = subcommand_class()
            subparser = subcommand.add_subparser(subparsers)
            if subcommand_class.requires_plugins:
                subparser.add_argument(
                    ""--include-package"",
                    type=str,
                    action=""append"",
                    default=[],
                    help=""additional packages to include"",
                )
"
allenai|allennlp|_checklist_internal.py|000	Class	"class CheckList(Subcommand):
    def add_subparser(self, parser: argparse._SubParsersAction) -> argparse.ArgumentParser:
"
allenai|allennlp|_checklist_internal.py|001	Class	"class _CheckListManager:
    def __init__(
        self,
        task_suite: TaskSuite,
        predictor: Predictor,
        capabilities: Optional[List[str]] = None,
        max_examples: Optional[int] = None,
        output_file: Optional[str] = None,
        print_summary_args: Optional[Dict[str, Any]] = None,
    ) -> None:
        self._task_suite = task_suite
        self._predictor = predictor
        self._capabilities = capabilities
        self._max_examples = max_examples
        self._output_file = None if output_file is None else open(output_file, ""w"")
        self._print_summary_args = print_summary_args or {}
"
allenai|allennlp|_checklist_internal.py|002	Function	"    def add_subparser(self, parser: argparse._SubParsersAction) -> argparse.ArgumentParser:
"
allenai|allennlp|_checklist_internal.py|003	Function	"def _get_predictor(args: argparse.Namespace) -> Predictor:
    check_for_gpu(args.cuda_device)
    archive = load_archive(
        args.archive_file,
        cuda_device=args.cuda_device,
    )
"
allenai|allennlp|_checklist_internal.py|004	Function	"def _get_task_suite(args: argparse.Namespace) -> TaskSuite:
    available_tasks = TaskSuite.list_available()
    if args.task in available_tasks:
        suite_name = args.task
    else:
        raise ConfigurationError(
            f""'{args.task}' is not a recognized task suite. ""
            f""Available tasks are: {available_tasks}.""
        )
"
RaRe-Technologies|gensim|test_notebooks.py|000	Function	"def _notebook_run(path):
    """"""Execute a notebook via nbconvert and collect output.
       :returns (parsed nb object, execution errors)
    """"""
    kernel_name = 'python%d' % sys.version_info[0]
    this_file_directory = os.path.dirname(__file__)
    errors = []
    with tempfile.NamedTemporaryFile(suffix="".ipynb"", mode='wt') as fout:
        with smart_open(path, 'rb') as f:
            nb = nbformat.read(f, as_version=4)
            nb.metadata.get('kernelspec', {})['name'] = kernel_name
            ep = ExecutePreprocessor(kernel_name=kernel_name, timeout=10)
"
RaRe-Technologies|gensim|test_notebooks.py|001	Function	"def test_notebooks():
    for notebook in glob(""*.ipynb""):
        if "" "" in notebook:
            continue
        print(""Testing {}"".format(notebook))
        nb, errors = _notebook_run(notebook)
        assert errors == []
"
RaRe-Technologies|gensim|check_wheels.py|000	Function	"def to_int(value):
    value = ''.join((x for x in value if x.isdigit()))
    try:
        return int(value)
    except Exception:
        return 0
"
RaRe-Technologies|gensim|check_wheels.py|001	Function	"def to_tuple(version):
    return tuple(to_int(x) for x in version.split('.'))
"
RaRe-Technologies|gensim|check_wheels.py|002	Function	"def main():
    project = sys.argv[1]
    json = requests.get('https://pypi.org/pypi/%s/json' % project).json()
    for version in sorted(json['releases'], key=to_tuple):
        print(version)
        wheel_packages = [
            p for p in json['releases'][version]
            if p['packagetype'] == 'bdist_wheel'
        ]
        for p in wheel_packages:
            print('    %(python_version)s %(filename)s' % p)
"
huggingface|pytorch-image-models|benchmark.py|000	Class	"class BenchmarkRunner:
    def __init__(
            self,
            model_name,
            detail=False,
            device='cuda',
            torchscript=False,
            torchcompile=None,
            aot_autograd=False,
            precision='float32',
            fuser='',
            num_warm_iter=10,
            num_bench_iter=50,
            use_train_size=False,
            **kwargs
    ):
        self.model_name = model_name
        self.detail = detail
        self.device = device
        self.amp_dtype, self.model_dtype, self.data_dtype = resolve_precision(precision)
        self.channels_last = kwargs.pop('channels_last', False)
        if self.amp_dtype is not None:
            self.amp_autocast = partial(torch.cuda.amp.autocast, dtype=self.amp_dtype)
        else:
            self.amp_autocast = suppress
"
huggingface|pytorch-image-models|benchmark.py|001	Class	"class InferenceBenchmarkRunner(BenchmarkRunner):
"
huggingface|pytorch-image-models|benchmark.py|002	Class	"class TrainBenchmarkRunner(BenchmarkRunner):
"
huggingface|pytorch-image-models|benchmark.py|003	Class	"class ProfileRunner(BenchmarkRunner):
"
huggingface|pytorch-image-models|benchmark.py|004	Function	"def timestamp(sync=False):
    return time.perf_counter()
"
huggingface|pytorch-image-models|avg_checkpoints.py|000	Function	"def checkpoint_metric(checkpoint_path):
    if not checkpoint_path or not os.path.isfile(checkpoint_path):
        return {}
    print(""=> Extracting metric from checkpoint '{}'"".format(checkpoint_path))
    checkpoint = torch.load(checkpoint_path, map_location='cpu')
    metric = None
    if 'metric' in checkpoint:
        metric = checkpoint['metric']
    elif 'metrics' in checkpoint and 'metric_name' in checkpoint:
        metrics = checkpoint['metrics']
        print(metrics)
        metric = metrics[checkpoint['metric_name']]
    return metric
"
huggingface|pytorch-image-models|avg_checkpoints.py|001	Function	"def main():
    args = parser.parse_args()
    # by default use the EMA weights (if present)
    args.use_ema = not args.no_use_ema
    # by default sort by checkpoint metric (if present) and avg top n checkpoints
    args.sort = not args.no_sort
"
huggingface|pytorch-image-models|clean_checkpoint.py|000	Function	"def main():
    args = parser.parse_args()
"
huggingface|pytorch-image-models|clean_checkpoint.py|001	Function	"def clean_checkpoint(
        checkpoint,
        output,
        use_ema=True,
        no_hash=False,
        clean_aux_bn=False,
        safe_serialization: bool=False,
):
    # Load an existing checkpoint to CPU, strip everything but the state_dict and re-save
    if checkpoint and os.path.isfile(checkpoint):
        print(""=> Loading checkpoint '{}'"".format(checkpoint))
        state_dict = load_state_dict(checkpoint, use_ema=use_ema)
        new_state_dict = {}
        for k, v in state_dict.items():
            if clean_aux_bn and 'aux_bn' in k:
                # If all aux_bn keys are removed, the SplitBN layers will end up as normal and
                # load with the unmodified model using BatchNorm2d.
                continue
            name = k[7:] if k.startswith('module.') else k
            new_state_dict[name] = v
        print(""=> Loaded state_dict from '{}'"".format(checkpoint))
"
huggingface|pytorch-image-models|bulk_runner.py|000	Function	"def cmd_from_args(args) -> Tuple[Union[Callable, str], List[str]]:
    # If ``args`` not passed, defaults to ``sys.argv[:1]``
    with_python = not args.no_python
    cmd: Union[Callable, str]
    cmd_args = []
    if with_python:
        cmd = os.getenv(""PYTHON_EXEC"", sys.executable)
        cmd_args.append(""-u"")
        if args.module:
            cmd_args.append(""-m"")
        cmd_args.append(args.script)
    else:
        if args.module:
            raise ValueError(
                ""Don't use both the '--no_python' flag""
                "" and the '--module' flag at the same time.""
            )
        cmd = args.script
    cmd_args.extend(args.script_args)
"
huggingface|pytorch-image-models|bulk_runner.py|001	Function	"def main():
    args = parser.parse_args()
    cmd, cmd_args = cmd_from_args(args)
"
huggingface|pytorch-image-models|bulk_runner.py|002	Function	"def write_results(results_file, results):
    with open(results_file, mode='w') as cf:
        dw = csv.DictWriter(cf, fieldnames=results[0].keys())
        dw.writeheader()
        for r in results:
            dw.writerow(r)
        cf.flush()
"
albumentations-team|albumentations|functional.py|000	Function	"def blur(img: np.ndarray, ksize: int) -> np.ndarray:
    blur_fn = _maybe_process_in_chunks(cv2.blur, ksize=(ksize, ksize))
    return blur_fn(img)
"
albumentations-team|albumentations|functional.py|001	Function	"def median_blur(img: np.ndarray, ksize: int) -> np.ndarray:
    if img.dtype == np.float32 and ksize not in {3, 5}:
        raise ValueError(f""Invalid ksize value {ksize}. For a float32 image the only valid ksize values are 3 and 5"")
"
albumentations-team|albumentations|functional.py|002	Function	"def gaussian_blur(img: np.ndarray, ksize: int, sigma: float = 0) -> np.ndarray:
    # When sigma=0, it is computed as `sigma = 0.3*((ksize-1)*0.5 - 1) + 0.8`
    blur_fn = _maybe_process_in_chunks(cv2.GaussianBlur, ksize=(ksize, ksize), sigmaX=sigma)
    return blur_fn(img)
"
albumentations-team|albumentations|functional.py|003	Function	"def glass_blur(
    img: np.ndarray, sigma: float, max_delta: int, iterations: int, dxy: np.ndarray, mode: str
) -> np.ndarray:
    x = cv2.GaussianBlur(np.array(img), sigmaX=sigma, ksize=(0, 0))
"
albumentations-team|albumentations|functional.py|004	Function	"def defocus(img: np.ndarray, radius: int, alias_blur: float) -> np.ndarray:
    length = np.arange(-max(8, radius), max(8, radius) + 1)
    ksize = 3 if radius <= 8 else 5
"
google|jax|parse_logs.py|000	Class	"class DefaultReport:
  outcome : str = ""none""
"
google|jax|parse_logs.py|001	Function	"def parse_line(line):
  # TODO(jakevdp): should we parse other report types?
  parsed = json.loads(line)
  if parsed.get(""$report_type"") == ""TestReport"":
    return TestReport._from_json(parsed)
  return DefaultReport()
"
google|jax|parse_logs.py|002	Function	"def main(logfile, outfile):
  logging.info(""Parsing %s"", logfile)
  try:
    with open(logfile, 'r') as f:
      reports = (parse_line(line) for line in f)
      failures = (r for r in reports if r.outcome == ""failed"")
      summary = ""\n"".join(f""{f.nodeid}: {f.longrepr.chain[0][1].message}""
                          for f in failures)
    logging.info(""Parsed summary:\n%s"", summary)
  except Exception:
    err_info = traceback.format_exc()
    logging.info(""Parsing failed:\n%s"", err_info)
    summary = f""Log parsing failed; traceback:\n\n{err_info}""
  logging.info(""Writing result to %s"", outfile)
  with open(outfile, 'w') as f:
    f.write(MSG_FORMAT.format(summary=summary))
"
google|jax|oci_cluster_manager.py|000	Function	"def get_regions():
    return requests.post(_API_URL, json={'name':'list_regions'},
                         auth=_API_AUTH, timeout=_REQUEST_TIMEOUT_SECONDS).json()['regions']
"
google|jax|oci_cluster_manager.py|001	Function	"def find_existing_cluster():
    return requests.post(_API_URL, json={'name':'find_cluster'},
                         auth=_API_AUTH, timeout=_REQUEST_TIMEOUT_SECONDS).json()['region']
"
google|jax|oci_cluster_manager.py|002	Function	"def get_cluster_ip(region):
    return requests.post(_API_URL, json={'name':'get_cluster_ip', 'region':region},
                         auth=_API_AUTH, timeout=_REQUEST_TIMEOUT_SECONDS).json()['cluster_ip']
"
google|jax|oci_cluster_manager.py|003	Function	"def get_cluster_username(region):
    return requests.post(_API_URL, json={'name':'get_cluster_username', 'region':region},
                         auth=_API_AUTH, timeout=_REQUEST_TIMEOUT_SECONDS).json()['cluster_username']
"
google|jax|oci_cluster_manager.py|004	Function	"def create_cluster(region):
    logging.debug(requests.post(_API_URL, json={'name':'create_cluster', 'region':region},
                                auth=_API_AUTH, timeout=_REQUEST_TIMEOUT_SECONDS))
"
google|jax|extract_e2e_tests_metrics.py|000	Function	"def main(logfile: str, outmd: str, outjson: str, name: str):
    print(f""Extracting content of {logfile}"")
    print(f""and writing to {outmd} and {outjson}"")
"
google|jax|api_benchmark.py|000	Class	"class AnEnum(enum.IntEnum):
  A = 123
  B = 456
"
google|jax|api_benchmark.py|001	Function	"def required_devices(num_devices_required):
  """"""Helper to skip benchmarks that require more devices.""""""
  def helper1(f):
    @functools.wraps(f)
    def helper2(state):
      if jax.device_count() < num_devices_required:
        state.skip_with_error(f""requires {num_devices_required} devices"")
        return
      return f(state)
    return helper2
  return helper1
"
google|jax|api_benchmark.py|002	Function	"  def helper1(f):
    @functools.wraps(f)
    def helper2(state):
      if jax.device_count() < num_devices_required:
        state.skip_with_error(f""requires {num_devices_required} devices"")
        return
      return f(state)
    return helper2
  return helper1
"
google|jax|api_benchmark.py|003	Function	"    def helper2(state):
      if jax.device_count() < num_devices_required:
        state.skip_with_error(f""requires {num_devices_required} devices"")
        return
      return f(state)
    return helper2
  return helper1
"
google|jax|api_benchmark.py|004	Function	"def create_mesh(shape, axis_names, state):
  size = np.prod(shape)
  if len(jax.devices()) < size:
    state.skip_with_error(f""Requires {size} devices"")
    return None
  devices = sorted(jax.devices(), key=lambda d: d.id)
  mesh_devices = np.array(devices[:size]).reshape(shape)
  global_mesh = jax.sharding.Mesh(mesh_devices, axis_names)
  return global_mesh
"
Rapptz|discord.py|abc.py|000	Class	"class _Undefined:
    def __repr__(self) -> str:
        return 'see-below'
"
Rapptz|discord.py|abc.py|001	Class	"class Snowflake(Protocol):
    """"""An ABC that details the common operations on a Discord model.
"
Rapptz|discord.py|abc.py|002	Class	"class User(Snowflake, Protocol):
    """"""An ABC that details the common operations on a Discord user.
"
Rapptz|discord.py|abc.py|003	Class	"class PrivateChannel:
    """"""An ABC that details the common operations on a private Discord channel.
"
Rapptz|discord.py|abc.py|004	Class	"class _Overwrites:
    __slots__ = ('id', 'allow', 'deny', 'type')
"
Rapptz|discord.py|__main__.py|000	Class	"class Bot(commands.{base}):
    def __init__(self, intents: discord.Intents, **kwargs):
        super().__init__(command_prefix=commands.when_mentioned_or('{prefix}'), intents=intents, **kwargs)
"
Rapptz|discord.py|__main__.py|001	Class	"    parser.add_argument('--class-name', help='the class name of the cog (default: <name>)', dest='class_name')
    parser.add_argument('--display-name', help='the cog name (default: <name>)')
    parser.add_argument('--hide-commands', help='whether to hide all commands in the cog', action='store_true')
    parser.add_argument('--full', help='add all special methods as well', action='store_true')
"
