UID	Category	Snippet
huggingface|transformers|conftest.py|001	Function	"def pytest_configure(config):
    config.addinivalue_line(
        ""markers"", ""is_pt_tf_cross_test: mark test to run only when PT and TF interactions are tested""
    )
    config.addinivalue_line(
        ""markers"", ""is_pt_flax_cross_test: mark test to run only when PT and FLAX interactions are tested""
    )
    config.addinivalue_line(
        ""markers"", ""is_pipeline_test: mark test to run only when pipelines are tested""
    )
    config.addinivalue_line(""markers"", ""is_staging_test: mark test to run only in the staging environment"")
"
huggingface|transformers|conftest.py|002	Function	"def pytest_addoption(parser):
    from transformers.testing_utils import pytest_addoption_shared
"
huggingface|transformers|conftest.py|003	Function	"def pytest_terminal_summary(terminalreporter):
    from transformers.testing_utils import pytest_terminal_summary_main
"
huggingface|transformers|conftest.py|004	Function	"def pytest_sessionfinish(session, exitstatus):
    # If no tests are collected, pytest exists with code 5, which makes the CI fail.
    if exitstatus == 5:
        session.exitstatus = 0
"
huggingface|transformers|conftest.py|005	Function	"    def check_output(self, want, got, optionflags):
        if IGNORE_RESULT & optionflags:
            return True
        return OutputChecker.check_output(self, want, got, optionflags)
"
psf|requests|setup.py|000	Class	"class PyTest(TestCommand):
    user_options = [(""pytest-args="", ""a"", ""Arguments to pass into py.test"")]
"
psf|requests|setup.py|001	Function	"    def initialize_options(self):
        TestCommand.initialize_options(self)
        try:
            from multiprocessing import cpu_count
"
psf|requests|setup.py|002	Function	"    def finalize_options(self):
        TestCommand.finalize_options(self)
        self.test_args = []
        self.test_suite = True
"
psf|requests|setup.py|003	Function	"    def run_tests(self):
        import pytest
"
psf|requests|flask_theme_support.py|000	Class	"class FlaskyStyle(Style):
    background_color = ""#f8f8f8""
    default_style = """"
"
psf|requests|flask_theme_support.py|001	Class	"        # No corresponding class for the following:
        #Text:                     """", # class:  ''
        Whitespace:                ""underline #f8f8f8"",      # class: 'w'
        Error:                     ""#a40000 border:#ef2929"", # class: 'err'
        Other:                     ""#000000"",                # class 'x'
"
psf|requests|__init__.py|000	Function	"def check_compatibility(urllib3_version, chardet_version, charset_normalizer_version):
    urllib3_version = urllib3_version.split(""."")
    assert urllib3_version != [""dev""]  # Verify urllib3 isn't installed from git.
"
psf|requests|__init__.py|001	Function	"def _check_cryptography(cryptography_version):
    # cryptography < 1.3.4
    try:
        cryptography_version = list(map(int, cryptography_version.split(""."")))
    except ValueError:
        return
"
scrapy|scrapy|setup.py|000	Function	"def has_environment_marker_platform_impl_support():
    """"""Code extracted from 'pytest/setup.py'
    https://github.com/pytest-dev/pytest/blob/7538680c/setup.py#L31
"
scrapy|scrapy|conftest.py|000	Function	"def _py_files(folder):
    return (str(p) for p in Path(folder).rglob(""*.py""))
"
scrapy|scrapy|conftest.py|001	Function	"def chdir(tmpdir):
    """"""Change to pytest-provided temporary directory""""""
    tmpdir.chdir()
"
scrapy|scrapy|conftest.py|002	Function	"def pytest_addoption(parser):
    parser.addoption(
        ""--reactor"",
        default=""default"",
        choices=[""default"", ""asyncio""],
    )
"
scrapy|scrapy|conftest.py|003	Function	"def reactor_pytest(request):
    if not request.cls:
        # doctests
        return
    request.cls.reactor_pytest = request.config.getoption(""--reactor"")
    return request.cls.reactor_pytest
"
scrapy|scrapy|conftest.py|004	Function	"def only_asyncio(request, reactor_pytest):
    if request.node.get_closest_marker(""only_asyncio"") and reactor_pytest != ""asyncio"":
        pytest.skip(""This test is only run with --reactor=asyncio"")
"
scrapy|scrapy|conftest.py|005	Function	"def only_not_asyncio(request, reactor_pytest):
    if (
        request.node.get_closest_marker(""only_not_asyncio"")
        and reactor_pytest == ""asyncio""
    ):
        pytest.skip(""This test is only run without --reactor=asyncio"")
"
scrapy|scrapy|conftest.py|006	Function	"def pytest_configure(config):
    if config.getoption(""--reactor"") == ""asyncio"":
        install_reactor(""twisted.internet.asyncioreactor.AsyncioSelectorReactor"")
"
scrapy|scrapy|scrapydocs.py|000	Class	"class settingslist_node(nodes.General, nodes.Element):
    pass
"
scrapy|scrapy|scrapydocs.py|001	Class	"class SettingsListDirective(Directive):
    def run(self):
        return [settingslist_node("""")]
"
scrapy|scrapy|scrapydocs.py|002	Function	"    def run(self):
        return [settingslist_node("""")]
"
scrapy|scrapy|scrapydocs.py|003	Function	"def is_setting_index(node):
    if node.tagname == ""index"" and node[""entries""]:
        # index entries for setting directives look like:
        # [('pair', 'SETTING_NAME; setting', 'std:setting-SETTING_NAME', '')]
        entry_type, info, refid = node[""entries""][0][:3]
        return entry_type == ""pair"" and info.endswith(""; setting"")
    return False
"
scrapy|scrapy|scrapydocs.py|004	Function	"def get_setting_target(node):
    # target nodes are placed next to the node in the doc tree
    return node.parent[node.parent.index(node) + 1]
"
scrapy|scrapy|scrapydocs.py|005	Function	"def get_setting_name_and_refid(node):
    """"""Extract setting name from directive index node""""""
    entry_type, info, refid = node[""entries""][0][:3]
    return info.replace(""; setting"", """"), refid
"
scrapy|scrapy|scrapydocs.py|006	Function	"def collect_scrapy_settings_refs(app, doctree):
    env = app.builder.env
"
scrapy|scrapy|scrapydocs.py|007	Function	"def make_setting_element(setting_data, app, fromdocname):
    refnode = make_refnode(
        app.builder,
        fromdocname,
        todocname=setting_data[""docname""],
        targetid=setting_data[""refid""],
        child=nodes.Text(setting_data[""setting_name""]),
    )
    p = nodes.paragraph()
    p += refnode
"
scrapy|scrapy|scrapydocs.py|008	Function	"def replace_settingslist_nodes(app, doctree, fromdocname):
    env = app.builder.env
"
scrapy|scrapy|scrapydocs.py|009	Function	"def setup(app):
    app.add_crossref_type(
        directivename=""setting"",
        rolename=""setting"",
        indextemplate=""pair: %s; setting"",
    )
    app.add_crossref_type(
        directivename=""signal"",
        rolename=""signal"",
        indextemplate=""pair: %s; signal"",
    )
    app.add_crossref_type(
        directivename=""command"",
        rolename=""command"",
        indextemplate=""pair: %s; command"",
    )
    app.add_crossref_type(
        directivename=""reqmeta"",
        rolename=""reqmeta"",
        indextemplate=""pair: %s; reqmeta"",
    )
    app.add_role(""source"", source_role)
    app.add_role(""commit"", commit_role)
    app.add_role(""issue"", issue_role)
    app.add_role(""rev"", rev_role)
"
scrapy|scrapy|scrapydocs.py|010	Function	"def source_role(name, rawtext, text, lineno, inliner, options={}, content=[]):
    ref = ""https://github.com/scrapy/scrapy/blob/master/"" + text
    set_classes(options)
    node = nodes.reference(rawtext, text, refuri=ref, **options)
    return [node], []
"
scrapy|scrapy|scrapydocs.py|011	Function	"def issue_role(name, rawtext, text, lineno, inliner, options={}, content=[]):
    ref = ""https://github.com/scrapy/scrapy/issues/"" + text
    set_classes(options)
    node = nodes.reference(rawtext, ""issue "" + text, refuri=ref, **options)
    return [node], []
"
scrapy|scrapy|scrapydocs.py|012	Function	"def commit_role(name, rawtext, text, lineno, inliner, options={}, content=[]):
    ref = ""https://github.com/scrapy/scrapy/commit/"" + text
    set_classes(options)
    node = nodes.reference(rawtext, ""commit "" + text, refuri=ref, **options)
    return [node], []
"
scrapy|scrapy|scrapydocs.py|013	Function	"def rev_role(name, rawtext, text, lineno, inliner, options={}, content=[]):
    ref = ""http://hg.scrapy.org/scrapy/changeset/"" + text
    set_classes(options)
    node = nodes.reference(rawtext, ""r"" + text, refuri=ref, **options)
    return [node], []
"
scrapy|scrapy|conf.py|000	Function	"def setup(app):
    app.connect(""autodoc-skip-member"", maybe_skip_member)
"
scrapy|scrapy|conf.py|001	Function	"def maybe_skip_member(app, what, name, obj, skip, options):
    if not skip:
        # autodocs was generating a text ""alias of"" for the following members
        # https://github.com/sphinx-doc/sphinx/issues/4422
        return name in {""default_item_class"", ""default_selector_class""}
    return skip
"
scrapy|scrapy|conftest.py|007	Function	"def load_response(url: str, filename: str) -> HtmlResponse:
    input_path = Path(__file__).parent / ""_tests"" / filename
    return HtmlResponse(url, body=input_path.read_bytes())
"
scrapy|scrapy|conftest.py|008	Function	"def setup(namespace):
    namespace[""load_response""] = load_response
"
certbot|certbot|challenges.py|000	Class	"class Challenge(jose.TypedJSONObjectWithFields):
    # _fields_to_partial_json
    """"""ACME challenge.""""""
    TYPES: Dict[str, Type['Challenge']] = {}
"
certbot|certbot|challenges.py|001	Class	"class ChallengeResponse(jose.TypedJSONObjectWithFields):
    # _fields_to_partial_json
    """"""ACME challenge response.""""""
    TYPES: Dict[str, Type['ChallengeResponse']] = {}
"
certbot|certbot|challenges.py|002	Class	"class UnrecognizedChallenge(Challenge):
    """"""Unrecognized challenge.
"
certbot|certbot|challenges.py|003	Class	"class _TokenChallenge(Challenge):
    """"""Challenge with token.
"
certbot|certbot|challenges.py|004	Class	"class KeyAuthorizationChallengeResponse(ChallengeResponse):
    """"""Response to Challenges based on Key Authorization.
"
certbot|certbot|challenges.py|005	Class	"class KeyAuthorizationChallenge(_TokenChallenge, metaclass=abc.ABCMeta):
    """"""Challenge based on Key Authorization.
"
certbot|certbot|challenges.py|006	Class	"class DNS01Response(KeyAuthorizationChallengeResponse):
    """"""ACME dns-01 challenge response.""""""
    typ = ""dns-01""
"
certbot|certbot|challenges.py|007	Class	"class DNS01(KeyAuthorizationChallenge):
    """"""ACME dns-01 challenge.""""""
    response_cls = DNS01Response
    typ = response_cls.typ
"
certbot|certbot|challenges.py|008	Class	"class HTTP01Response(KeyAuthorizationChallengeResponse):
    """"""ACME http-01 challenge response.""""""
    typ = ""http-01""
"
certbot|certbot|challenges.py|009	Class	"class HTTP01(KeyAuthorizationChallenge):
    """"""ACME http-01 challenge.""""""
    response_cls = HTTP01Response
    typ = response_cls.typ
"
certbot|certbot|challenges.py|010	Class	"class TLSALPN01Response(KeyAuthorizationChallengeResponse):
    """"""ACME tls-alpn-01 challenge response.""""""
    typ = ""tls-alpn-01""
"
certbot|certbot|challenges.py|011	Class	"class TLSALPN01(KeyAuthorizationChallenge):
    """"""ACME tls-alpn-01 challenge.""""""
    response_cls = TLSALPN01Response
    typ = response_cls.typ
"
certbot|certbot|challenges.py|012	Class	"class DNS(_TokenChallenge):
    """"""ACME ""dns"" challenge.""""""
    typ = ""dns""
"
certbot|certbot|challenges.py|013	Class	"class DNSResponse(ChallengeResponse):
    """"""ACME ""dns"" challenge response.
"
certbot|certbot|challenges.py|014	Function	"    def from_json(cls: Type[GenericChallenge],
                  jobj: Mapping[str, Any]) -> Union[GenericChallenge, 'UnrecognizedChallenge']:
        try:
            return cast(GenericChallenge, super().from_json(jobj))
        except jose.UnrecognizedTypeError as error:
            logger.debug(error)
            return UnrecognizedChallenge.from_json(jobj)
"
certbot|certbot|challenges.py|015	Function	"    def to_partial_json(self) -> Dict[str, Any]:
        # Removes the `type` field which is inserted by TypedJSONObjectWithFields.to_partial_json.
        # This field breaks RFC8555 compliance.
        jobj = super().to_partial_json()
        jobj.pop(self.type_field_name, None)
        return jobj
"
certbot|certbot|challenges.py|016	Function	"    def __init__(self, jobj: Mapping[str, Any]) -> None:
        super().__init__()
        object.__setattr__(self, ""jobj"", jobj)
"
certbot|certbot|challenges.py|017	Function	"    def to_partial_json(self) -> Dict[str, Any]:
        return self.jobj  # pylint: disable=no-member
"
certbot|certbot|challenges.py|018	Function	"    def from_json(cls, jobj: Mapping[str, Any]) -> 'UnrecognizedChallenge':
        return cls(jobj)
"
certbot|certbot|challenges.py|019	Function	"    def good_token(self) -> bool:  # XXX: @token.decoder
        """"""Is `token` good?
"
certbot|certbot|challenges.py|020	Function	"    def verify(self, chall: 'KeyAuthorizationChallenge', account_public_key: jose.JWK) -> bool:
        """"""Verify the key authorization.
"
certbot|certbot|challenges.py|021	Function	"    def to_partial_json(self) -> Dict[str, Any]:
        jobj = super().to_partial_json()
        jobj.pop('keyAuthorization', None)
        return jobj
"
certbot|certbot|challenges.py|022	Function	"    def key_authorization(self, account_key: jose.JWK) -> str:
        """"""Generate Key Authorization.
"
certbot|certbot|challenges.py|023	Function	"    def response(self, account_key: jose.JWK) -> KeyAuthorizationChallengeResponse:
        """"""Generate response to the challenge.
"
certbot|certbot|challenges.py|024	Function	"    def validation(self, account_key: jose.JWK, **kwargs: Any) -> Any:
        """"""Generate validation for the challenge.
"
certbot|certbot|challenges.py|025	Function	"    def response_and_validation(self, account_key: jose.JWK, *args: Any, **kwargs: Any
                                ) -> Tuple[KeyAuthorizationChallengeResponse, Any]:
        """"""Generate response and validation.
"
certbot|certbot|challenges.py|026	Function	"    def simple_verify(self, chall: 'DNS01', domain: str, account_public_key: jose.JWK) -> bool:  # pylint: disable=unused-argument
        """"""Simple verify.
"
certbot|certbot|challenges.py|027	Function	"    def validation(self, account_key: jose.JWK, **unused_kwargs: Any) -> str:
        """"""Generate validation.
"
certbot|certbot|challenges.py|028	Function	"    def validation_domain_name(self, name: str) -> str:
        """"""Domain name for TXT validation record.
"
certbot|certbot|challenges.py|029	Function	"    def simple_verify(self, chall: 'HTTP01', domain: str, account_public_key: jose.JWK,
                      port: Optional[int] = None, timeout: int = 30) -> bool:
        """"""Simple verify.
"
certbot|certbot|challenges.py|030	Function	"    def path(self) -> str:
        """"""Path (starting with '/') for provisioned resource.
"
certbot|certbot|challenges.py|031	Function	"    def uri(self, domain: str) -> str:
        """"""Create an URI to the provisioned resource.
"
certbot|certbot|challenges.py|032	Function	"    def validation(self, account_key: jose.JWK, **unused_kwargs: Any) -> str:
        """"""Generate validation.
"
certbot|certbot|challenges.py|033	Function	"    def h(self) -> bytes:
        """"""Hash value stored in challenge certificate""""""
        return hashlib.sha256(self.key_authorization.encode('utf-8')).digest()
"
certbot|certbot|challenges.py|034	Function	"    def gen_cert(self, domain: str, key: Optional[crypto.PKey] = None, bits: int = 2048
                 ) -> Tuple[crypto.X509, crypto.PKey]:
        """"""Generate tls-alpn-01 certificate.
"
certbot|certbot|challenges.py|035	Function	"    def probe_cert(self, domain: str, host: Optional[str] = None,
                   port: Optional[int] = None) -> crypto.X509:
        """"""Probe tls-alpn-01 challenge certificate.
"
certbot|certbot|challenges.py|036	Function	"    def verify_cert(self, domain: str, cert: crypto.X509) -> bool:
        """"""Verify tls-alpn-01 challenge certificate.
"
certbot|certbot|challenges.py|037	Function	"    def simple_verify(self, chall: 'TLSALPN01', domain: str, account_public_key: jose.JWK,
                      cert: Optional[crypto.X509] = None, host: Optional[str] = None,
                      port: Optional[int] = None) -> bool:
        """"""Simple verify.
"
certbot|certbot|challenges.py|038	Function	"    def validation(self, account_key: jose.JWK, **kwargs: Any) -> Tuple[crypto.X509, crypto.PKey]:
        """"""Generate validation.
"
certbot|certbot|challenges.py|039	Function	"    def is_supported() -> bool:
        """"""
        Check if TLS-ALPN-01 challenge is supported on this machine.
        This implies that a recent version of OpenSSL is installed (>= 1.0.2),
        or a recent cryptography version shipped with the OpenSSL library is installed.
"
certbot|certbot|challenges.py|040	Function	"    def gen_validation(self, account_key: jose.JWK, alg: jose.JWASignature = jose.RS256,
                       **kwargs: Any) -> jose.JWS:
        """"""Generate validation.
"
certbot|certbot|challenges.py|041	Function	"    def check_validation(self, validation: jose.JWS, account_public_key: jose.JWK) -> bool:
        """"""Check validation.
"
certbot|certbot|challenges.py|042	Function	"    def gen_response(self, account_key: jose.JWK, **kwargs: Any) -> 'DNSResponse':
        """"""Generate response.
"
certbot|certbot|challenges.py|043	Function	"    def validation_domain_name(self, name: str) -> str:
        """"""Domain name for TXT validation record.
"
certbot|certbot|challenges.py|044	Function	"    def check_validation(self, chall: 'DNS', account_public_key: jose.JWK) -> bool:
        """"""Check validation.
"
certbot|certbot|client.py|000	Class	"class ClientV2:
    """"""ACME client for a v2 API.
"
certbot|certbot|client.py|001	Class	"class ClientNetwork:
    """"""Wrapper around requests that signs POSTs for authentication.
"
certbot|certbot|client.py|002	Function	"    def __init__(self, directory: messages.Directory, net: 'ClientNetwork') -> None:
        """"""Initialize.
"
certbot|certbot|client.py|003	Function	"    def new_account(self, new_account: messages.NewRegistration) -> messages.RegistrationResource:
        """"""Register.
"
certbot|certbot|client.py|004	Function	"    def query_registration(self, regr: messages.RegistrationResource
                           ) -> messages.RegistrationResource:
        """"""Query server about registration.
"
certbot|certbot|client.py|005	Function	"    def update_registration(self, regr: messages.RegistrationResource,
                            update: Optional[messages.Registration] = None
                            ) -> messages.RegistrationResource:
        """"""Update registration.
"
certbot|certbot|client.py|006	Function	"    def _get_v2_account(self, regr: messages.RegistrationResource, update_body: bool = False
                       ) -> messages.RegistrationResource:
        self.net.account = None
        only_existing_reg = regr.body.update(only_return_existing=True)
        response = self._post(self.directory['newAccount'], only_existing_reg)
        updated_uri = response.headers['Location']
        new_regr = regr.update(body=messages.Registration.from_json(response.json())
                               if update_body else regr.body,
                               uri=updated_uri)
        self.net.account = new_regr
        return new_regr
"
certbot|certbot|client.py|007	Function	"    def new_order(self, csr_pem: bytes) -> messages.OrderResource:
        """"""Request a new Order object from the server.
"
certbot|certbot|client.py|008	Function	"    def poll(self, authzr: messages.AuthorizationResource
             ) -> Tuple[messages.AuthorizationResource, requests.Response]:
        """"""Poll Authorization Resource for status.
"
certbot|certbot|client.py|009	Function	"    def poll_and_finalize(self, orderr: messages.OrderResource,
                          deadline: Optional[datetime.datetime] = None) -> messages.OrderResource:
        """"""Poll authorizations and finalize the order.
"
certbot|certbot|client.py|010	Function	"    def poll_authorizations(self, orderr: messages.OrderResource, deadline: datetime.datetime
                            ) -> messages.OrderResource:
        """"""Poll Order Resource for status.""""""
        responses = []
        for url in orderr.body.authorizations:
            while datetime.datetime.now() < deadline:
                authzr = self._authzr_from_response(self._post_as_get(url), uri=url)
                if authzr.body.status != messages.STATUS_PENDING:  # pylint: disable=no-member
                    responses.append(authzr)
                    break
                time.sleep(1)
        # If we didn't get a response for every authorization, we fell through
        # the bottom of the loop due to hitting the deadline.
        if len(responses) < len(orderr.body.authorizations):
            raise errors.TimeoutError()
        failed = []
        for authzr in responses:
            if authzr.body.status != messages.STATUS_VALID:
                for chall in authzr.body.challenges:
                    if chall.error is not None:
                        failed.append(authzr)
        if failed:
            raise errors.ValidationError(failed)
        return orderr.update(authorizations=responses)
"
certbot|certbot|client.py|011	Function	"    def finalize_order(self, orderr: messages.OrderResource, deadline: datetime.datetime,
                       fetch_alternative_chains: bool = False) -> messages.OrderResource:
        """"""Finalize an order and obtain a certificate.
"
certbot|certbot|client.py|012	Function	"    def revoke(self, cert: jose.ComparableX509, rsn: int) -> None:
        """"""Revoke certificate.
"
certbot|certbot|client.py|013	Function	"    def external_account_required(self) -> bool:
        """"""Checks if ACME server requires External Account Binding authentication.""""""
        return hasattr(self.directory, 'meta') and \
               hasattr(self.directory.meta, 'external_account_required') and \
               self.directory.meta.external_account_required
"
certbot|certbot|client.py|014	Function	"    def _post_as_get(self, *args: Any, **kwargs: Any) -> requests.Response:
        """"""
        Send GET request using the POST-as-GET protocol.
        :param args:
        :param kwargs:
        :return:
        """"""
        new_args = args[:1] + (None,) + args[1:]
        return self._post(*new_args, **kwargs)
"
certbot|certbot|client.py|015	Function	"    def _get_links(self, response: requests.Response, relation_type: str) -> List[str]:
        """"""
        Retrieves all Link URIs of relation_type from the response.
        :param requests.Response response: The requests HTTP response.
        :param str relation_type: The relation type to filter by.
        """"""
        # Can't use response.links directly because it drops multiple links
        # of the same relation type, which is possible in RFC8555 responses.
        if 'Link' not in response.headers:
            return []
        links = parse_header_links(response.headers['Link'])
        return [l['url'] for l in links
                if 'rel' in l and 'url' in l and l['rel'] == relation_type]
"
certbot|certbot|client.py|016	Function	"    def get_directory(cls, url: str, net: 'ClientNetwork') -> messages.Directory:
        """"""
        Retrieves the ACME directory (RFC 8555 section 7.1.1) from the ACME server.
        :param str url: the URL where the ACME directory is available
        :param ClientNetwork net: the ClientNetwork to use to make the request
"
certbot|certbot|client.py|017	Function	"    def _regr_from_response(cls, response: requests.Response, uri: Optional[str] = None,
                            terms_of_service: Optional[str] = None
                            ) -> messages.RegistrationResource:
        if 'terms-of-service' in response.links:
            terms_of_service = response.links['terms-of-service']['url']
"
certbot|certbot|client.py|018	Function	"    def _send_recv_regr(self, regr: messages.RegistrationResource,
                        body: messages.Registration) -> messages.RegistrationResource:
        response = self._post(regr.uri, body)
"
certbot|certbot|client.py|019	Function	"    def _post(self, *args: Any, **kwargs: Any) -> requests.Response:
        """"""Wrapper around self.net.post that adds the newNonce URL.
"
certbot|certbot|client.py|020	Function	"    def deactivate_registration(self, regr: messages.RegistrationResource
                                ) -> messages.RegistrationResource:
        """"""Deactivate registration.
"
certbot|certbot|client.py|021	Function	"    def deactivate_authorization(self,
                                 authzr: messages.AuthorizationResource
                                 ) -> messages.AuthorizationResource:
        """"""Deactivate authorization.
"
certbot|certbot|client.py|022	Function	"    def _authzr_from_response(self, response: requests.Response,
                              identifier: Optional[messages.Identifier] = None,
                              uri: Optional[str] = None) -> messages.AuthorizationResource:
        authzr = messages.AuthorizationResource(
            body=messages.Authorization.from_json(response.json()),
            uri=response.headers.get('Location', uri))
        if identifier is not None and authzr.body.identifier != identifier:  # pylint: disable=no-member
            raise errors.UnexpectedUpdate(authzr)
        return authzr
"
certbot|certbot|client.py|023	Function	"    def answer_challenge(self, challb: messages.ChallengeBody,
                         response: challenges.ChallengeResponse) -> messages.ChallengeResource:
        """"""Answer challenge.
"
certbot|certbot|client.py|024	Function	"    def retry_after(cls, response: requests.Response, default: int) -> datetime.datetime:
        """"""Compute next `poll` time based on response ``Retry-After`` header.
"
certbot|certbot|client.py|025	Function	"    def _revoke(self, cert: jose.ComparableX509, rsn: int, url: str) -> None:
        """"""Revoke certificate.
"
certbot|certbot|client.py|026	Function	"    def __init__(self, key: jose.JWK, account: Optional[messages.RegistrationResource] = None,
                 alg: jose.JWASignature = jose.RS256, verify_ssl: bool = True,
                 user_agent: str = 'acme-python', timeout: int = DEFAULT_NETWORK_TIMEOUT) -> None:
        self.key = key
        self.account = account
        self.alg = alg
        self.verify_ssl = verify_ssl
        self._nonces: Set[Text] = set()
        self.user_agent = user_agent
        self.session = requests.Session()
        self._default_timeout = timeout
        adapter = HTTPAdapter()
"
certbot|certbot|client.py|027	Function	"    def __del__(self) -> None:
        # Try to close the session, but don't show exceptions to the
        # user if the call to close() fails. See #4840.
        try:
            self.session.close()
        except Exception:  # pylint: disable=broad-except
            pass
"
certbot|certbot|client.py|028	Function	"    def _wrap_in_jws(self, obj: jose.JSONDeSerializable, nonce: str, url: str) -> str:
        """"""Wrap `JSONDeSerializable` object in JWS.
"
certbot|certbot|client.py|029	Function	"    def _check_response(cls, response: requests.Response,
                        content_type: Optional[str] = None) -> requests.Response:
        """"""Check response content and its type.
"
certbot|certbot|client.py|030	Function	"    def _send_request(self, method: str, url: str, *args: Any, **kwargs: Any) -> requests.Response:
        """"""Send HTTP request.
"
certbot|certbot|client.py|031	Function	"    def head(self, *args: Any, **kwargs: Any) -> requests.Response:
        """"""Send HEAD request without checking the response.
"
certbot|certbot|client.py|032	Function	"    def get(self, url: str, content_type: str = JSON_CONTENT_TYPE,
            **kwargs: Any) -> requests.Response:
        """"""Send GET request and check response.""""""
        return self._check_response(
            self._send_request('GET', url, **kwargs), content_type=content_type)
"
certbot|certbot|client.py|033	Function	"    def _add_nonce(self, response: requests.Response) -> None:
        if self.REPLAY_NONCE_HEADER in response.headers:
            nonce = response.headers[self.REPLAY_NONCE_HEADER]
            try:
                decoded_nonce = jws.Header._fields['nonce'].decode(nonce)
            except jose.DeserializationError as error:
                raise errors.BadNonce(nonce, error)
            logger.debug('Storing nonce: %s', nonce)
            self._nonces.add(decoded_nonce)
        else:
            raise errors.MissingNonce(response)
"
certbot|certbot|client.py|034	Function	"    def _get_nonce(self, url: str, new_nonce_url: str) -> str:
        if not self._nonces:
            logger.debug('Requesting fresh nonce')
            if new_nonce_url is None:
                response = self.head(url)
            else:
                # request a new nonce from the acme newNonce endpoint
                response = self._check_response(self.head(new_nonce_url), content_type=None)
            self._add_nonce(response)
        return self._nonces.pop()
"
